Label,Calligrapher Name,Total,Training set size,Testing set size,,
wxz,王羲之,6741,5393,1348,,
yzq,颜真卿,6756,5405,1351,,
lgq,柳公权,6763,5410,1353,,
sgt,孙过庭,6251,5001,1250,,
smh,沙孟海,1267,1014,253,,
mf,米芾,6763,5410,1353,,
htj,黄庭坚,6714,5371,1343,,
oyx,欧阳询,3510,2808,702,,
zmf,赵孟頫,2012,1610,402,,
csl,褚遂良,1075,860,215,,
wzm,文征明,4526,3621,905,,
lqs,梁秋生,6757,5406,1351,,
yyr,于右任,6763,5410,1353,,
hy,弘一,3331,2665,666,,
bdsr,八大山人,1985,1588,397,,
fwq,范文强,6763,5410,1353,,
gj,管峻,6763,5410,1353,,
shz,宋徽宗,6763,5410,1353,,
mzd,毛泽东,6763,5410,1353,,
lx,鲁迅,6763,5410,1353,,
